time,EpTO-100-1sec-0.000000,EpTO-100-1sec-0.250000,EpTO-100-1sec-0.500000,EpTO-100-1sec-0.750000,EpTO-100-1sec-1.000000,EpTO-50-1sec-0.000000,EpTO-50-1sec-0.250000,EpTO-50-1sec-0.500000,EpTO-50-1sec-0.750000,EpTO-50-1sec-1.000000,EpTO-50-2sec-0.000000,EpTO-50-2sec-0.250000,EpTO-50-2sec-0.500000,EpTO-50-2sec-0.750000,EpTO-50-2sec-1.000000,EpTO-add-suspend-0.000000,EpTO-add-suspend-0.250000,EpTO-add-suspend-0.500000,EpTO-add-suspend-0.750000,EpTO-add-suspend-1.000000,EpTO-suspend-0.000000,EpTO-suspend-0.250000,EpTO-suspend-0.500000,EpTO-suspend-0.750000,EpTO-suspend-1.000000,JGroups-100-1sec-0.000000,JGroups-100-1sec-0.250000,JGroups-100-1sec-0.500000,JGroups-100-1sec-0.750000,JGroups-100-1sec-1.000000,JGroups-50-1sec-0.000000,JGroups-50-1sec-0.250000,JGroups-50-1sec-0.500000,JGroups-50-1sec-0.750000,JGroups-50-1sec-1.000000,JGroups-50-2sec-0.000000,JGroups-50-2sec-0.250000,JGroups-50-2sec-0.500000,JGroups-50-2sec-0.750000,JGroups-50-2sec-1.000000,JGroups-add-suspend-coord-0.000000,JGroups-add-suspend-coord-0.250000,JGroups-add-suspend-coord-0.500000,JGroups-add-suspend-coord-0.750000,JGroups-add-suspend-coord-1.000000,JGroups-add-suspend-nocoord-0.000000,JGroups-add-suspend-nocoord-0.250000,JGroups-add-suspend-nocoord-0.500000,JGroups-add-suspend-nocoord-0.750000,JGroups-add-suspend-nocoord-1.000000,JGroups-suspend-coord-0.000000,JGroups-suspend-coord-0.250000,JGroups-suspend-coord-0.500000,JGroups-suspend-coord-0.750000,JGroups-suspend-coord-1.000000,JGroups-suspend-nocoord-0.000000,JGroups-suspend-nocoord-0.250000,JGroups-suspend-nocoord-0.500000,JGroups-suspend-nocoord-0.750000,JGroups-suspend-nocoord-1.000000
20,0,7E-05,0.000272,0.000524,0.002008,0,4.2E-05,0.000136,0.000285,0.000848,0,4.2E-05,0.000168,0.000314,0.00112,0,0.000112,0.000356,0.000734,0.328761,0,7E-05,0.000258,0.000482,0.002081,0,0.00215675,0.004624,0.00808325,0.059761,0,0.000723,0.0017575,0.00330525,0.103754,0,0.0009545,0.0023565,0.003769,0.102369,0,0.00236075,0.003704,0.00641475,0.060888,0,0.00227475,0.0038645,0.00703475,0.115812,0,0.0015925,0.0037835,0.00745,0.120053,0,0.002412,0.0041805,0.00723075,0.094634
21,0,4.2E-05,0.000243,0.000514,0.002138,0,4.2E-05,0.000168,0.000314,0.001174,0,4.2E-05,0.000136,0.000314,0.001258,0,8.4E-05,0.000317,0.000734,0.318274,0,4.2E-05,0.00022,0.000472,0.00183,0,0.002194,0.004564,0.0082285,0.167106,0,0.0008265,0.0018675,0.004198,0.123823,0,0.000642,0.0022935,0.004309,0.11759,0,0.0024775,0.0038015,0.00659825,0.084308,0,0.002327,0.004011,0.007364,0.056244,0,0.001924,0.003949,0.007603,0.160581,0,0.00255175,0.004461,0.00754075,0.122659
22,0,0,0.000188,0.00044,0.002271,0,4.2E-05,0.000126,0.000336,0.002998,0,4.2E-05,0.000136,0.0003485,0.0036,0,7E-05,0.000277,0.000618,0.319163,0,4.2E-05,0.000208,0.00045,0.001976,0,0.00230125,0.0046865,0.00820425,0.051424,0,0.000962,0.0022725,0.00454275,0.137658,0,0.000642,0.0026905,0.00496975,0.135891,0,0.00257225,0.005399,0.011888,0.12581,0,0.002841,0.005973,0.01380475,0.20038,0,0.001922,0.0041935,0.007875,0.253981,0,0.0027245,0.0044935,0.00808975,0.160643
23,0,0,0.000154,0.00043,0.002451,0,0,0.000126,0.000356,0.003349,0,4.2E-05,9.4E-05,0.000314,0.003463,0,4.2E-05,0.00025,0.000607,0.325159,0,0,0.000154,0.00043,0.003466,0,0.00241275,0.0050275,0.0091455,0.304568,0,0.000963,0.0027715,0.0050395,0.161759,0,0.000642,0.0031925,0.005261,0.142977,0,0.00255,0.004086,0.00774575,0.154559,0,0.00266325,0.0041985,0.00810925,0.28324,0,0.002096,0.004339,0.0081425,0.352241,0,0.002907,0.004857,0.008582,0.223723
24,0,0,0.000126,0.000408,0.002736,0,0,0.000126,0.000356,0.00338,0,0,9.4E-05,0.000398,0.003558,0,4.2E-05,0.00021,0.000586,0.403104,0,0,0.000126,0.000398,0.001889,0,0.00255075,0.0051115,0.00938725,0.328851,0,0.000848,0.003149,0.0081,0.168559,0,0.00048775,0.0028885,0.00516825,0.159704,0,0.00252225,0.00417,0.0073215,0.206545,0,0.00271125,0.0043905,0.00892275,0.374238,0,0.002337,0.004727,0.00956,0.180497,0,0.002689,0.00442,0.00800625,0.295333
25,0,0,0.000126,0.000378,0.002713,0,0,8.4E-05,0.000408,0.003588,0,0,9.4E-05,0.000398,0.00359,0,0,0.00021,0.000566,0.331174,0,0,0.000112,0.000356,0.003017,0,0.0025165,0.0047455,0.008849,0.1297,0,0.00063975,0.002425,0.00753375,0.149761,0,0.000356,0.0017565,0.00519925,0.172648,0,0.002564,0.0040975,0.0081665,0.301671,0,0.00285075,0.0043975,0.00857675,0.428036,0,0.0022765,0.004394,0.00856175,0.373262,0,0.00252825,0.004497,0.0086185,0.333566
26,0,0,8.4E-05,0.000314,0.003864,0,0,8.4E-05,0.0004105,0.003767,0,0,8.4E-05,0.000398,0.003423,0,0,0.000168,0.0005335,0.37632,0,0,8.4E-05,0.00037,0.003874,0,0.002493,0.0048855,0.00857,0.39972,0,0.0004445,0.0020815,0.00586575,0.147915,0,0.000359,0.0023065,0.00643125,0.167172,0,0.002567,0.0041745,0.00800725,0.344425,0,0.00265,0.0041155,0.00872725,0.109523,0,0.00238275,0.0043755,0.0094645,0.557217,0,0.0024965,0.0043745,0.00816475,0.353643
27,0,0,8.4E-05,0.000314,0.003697,0,0,4.2E-05,0.000314,0.003181,0,0,0,0.000314,0.003097,0,0,0.000168,0.000524,0.3485,0,0,8.4E-05,0.000294,0.003968,0,0.0026195,0.0051635,0.0090565,0.179058,0,0.000445,0.00227,0.00566825,0.164212,0,0.000356,0.0025595,0.006085,0.172263,0,0.0026115,0.0041135,0.00771375,0.399773,0,0.00249375,0.004031,0.00778375,0.577576,0,0.00224675,0.004556,0.009374,0.57158,0,0.002624,0.0043485,0.008014,0.490051
28,0,0,7E-05,0.000314,0.00376,0,0,0,0.0002335,0.00115,0,0,0,0.000272,0.000944,0,0,0.000126,0.000566,0.345011,0,0,7E-05,0.000301,0.003716,0,0.00269225,0.0049535,0.009049,0.208515,0,0.00035825,0.0019675,0.0046145,0.097518,0,0.000356,0.0020235,0.004863,0.127643,0,0.002485,0.003908,0.007424,0.542391,0,0.002439,0.0039625,0.00761175,0.402504,0,0.00245275,0.0045195,0.0094025,0.190796,0,0.00269525,0.004458,0.00780225,0.482164
29,0,0,4.2E-05,0.000294,0.00398,0,0,0,7E-05,0.000942,0,0,0,7E-05,0.00113,0,0,0.000126,0.000576,0.355828,0,0,4.2E-05,0.000304,0.003561,0,0.0025675,0.0049415,0.00888025,0.241212,0,0.000356,0.001694,0.0041065,0.17312,0,0.000359,0.002087,0.00404825,0.17102,0,0.00243975,0.003783,0.0070605,0.349178,0,0.002416,0.003946,0.00722025,0.56844,0,0.00204275,0.004192,0.00807175,0.223447,0,0.00250675,0.0044265,0.00779975,0.435543
