EpTO-100-1sec-x,EpTO-100-1sec-y,EpTO-50-1sec-x,EpTO-50-1sec-y,EpTO-50-2sec-x,EpTO-50-2sec-y,EpTO-add-suspend-x,EpTO-add-suspend-y,EpTO-suspend-x,EpTO-suspend-y,EpTO-real-trace-x,EpTO-real-trace-y,JGroups-100-1sec-x,JGroups-100-1sec-y,JGroups-50-1sec-x,JGroups-50-1sec-y,JGroups-50-2sec-x,JGroups-50-2sec-y,JGroups-add-suspend-coord-x,JGroups-add-suspend-coord-y,JGroups-add-suspend-nocoord-x,JGroups-add-suspend-nocoord-y,JGroups-suspend-coord-x,JGroups-suspend-coord-y,JGroups-suspend-nocoord-x,JGroups-suspend-nocoord-y,JGroups-coord-x,JGroups-coord-y,JGroups-nocoord-x,JGroups-nocoord-y
1198.33824,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.341541,0.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.343692,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.349915,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.351844,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.352,0.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.352842,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.353,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.35636,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.359517,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.363352,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.369022,0.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.370836,0.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.371835,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.372,0.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.373666,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.376496,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.377,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.377,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.377829,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.379656,0.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.381654,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.383652,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.38565,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.386824,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.388646,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.389822,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.392463,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.39546,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.398457,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.402272,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.405451,0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.408448,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.409815,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.41,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.413252,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.414,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.419677,0.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.42586,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.429427,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.43,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.430807,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.432612,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.433805,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.434804,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.439818,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.447416,0.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.450602,0.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.4534,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.455598,0.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.457596,0.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.458797,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.459796,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.46,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.460794,0.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.462586,0.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.463792,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.464791,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.46658,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.468578,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.469,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.469787,0.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.470786,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.473355,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.47792,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.481349,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.482782,0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.489248,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.49646,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.498,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.498778,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.502885,0.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.506328,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.5101,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.512548,0.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.523049,0.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.526772,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.53471,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.53854,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.548228,0.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.560216,0.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.566835,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.581788,0.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.586765,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.631312,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.654919,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.739534,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.873062,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.9526,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.972313,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.005078,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.021056,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.056264,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.084365,0.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.104326,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.11653,0.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.131032,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.14251,0.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.154,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.16449,0.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.169244,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.174482,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.181968,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.187725,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.20016,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.210687,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.217452,0.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.219,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.22048,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.224695,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.230428,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.237159,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.239,0.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.241205,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.243468,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.246932,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.248732,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.249731,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.25073,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.254645,0.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.258912,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.262181,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.26663,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.268725,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.27624,0.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.279723,0.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.280722,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.281721,0.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.282,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.284157,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.29218,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.295717,0.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.296716,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.29986,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.301714,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.302,0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.302,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.302711,0.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.303,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.303709,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.308248,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.310707,0.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.312412,0.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.316525,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.320816,0.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.323406,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.324,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.324701,0.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.325,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.325699,0.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.326698,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.327,0.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.329088,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.33139,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.332694,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.333693,0.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.334692,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.335,0.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.33569,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.336,0.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.338064,0.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.339,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.339686,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.34137,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.342684,0.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.344366,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.345,0.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.345681,0.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.34668,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.348358,0.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.349678,0.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.350677,0.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.351676,0.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.352675,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.353674,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.355346,0.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.356,0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.356671,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.35834,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.359669,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.36,0.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.36,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.361332,0.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.362665,0.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199.363664,0.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
